"Do you have any comments regarding the order?","Czy masz jakieś uwagi do zamówienia?"
"Enter your comment...","Wpisz swoje uwagi..."
"Remaining characters","Pozostało znaków"
"The order comment could not be saved","The order comment could not be saved"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
